taxlevel	rankID	taxon	daughterlevels	total	F298	F307	F308	LGT_02262	LGT_02338	LGT_02339	LGT_02422	LGT_02424	LGT_02770	LGT_926	f102	f103	f104	f106	f114	f118	f122	f123	f124	f125	f132	f14_00499	f14_128_fecal	f14_235_fecal	f14_236_fecal	f14_245_fecal	f14_248_fecal	f14_276_fecal	f14_277_fecal	f14_286_fecal	f14_291_fecal	f14_292_fecal	f14_293_fecal	f14_299_fecal	f14_300_fecal	f14_301_fecal	f14_303_fecal	f14_305_fecal	f14_309_fecal	f14_310_fecal	f14_313_fecal	f14_390	f14_392	f14_399	f14_400	f14_403	f14_404	f14_409	f14_419	f14_420	f14_421	f14_430	f14_433	f14_437	f14_448	f14_449	f14_452	f14_459	f14_460	f14_462	f14_466	f14_468	f14_470	f14_472	f14_473	f14_475	f14_478	f14_479	f14_480	f14_481	f14_482	f14_483	f14_491	f14_492	f14_494	f14_495	f14_496	f14_509	f14_511	f14_512	f14_515	f14_546	f14_547	f14_551	f14_559	f14_560	f157	f165	f168	f169	f172	f174	f176	f177	f178	f180	f181	f183	f184	f185	f187	f191	f197	f198	f219	f220	f221	f223	f230	f233	f28	f30	f34	f35	f38	f43	f44	f50	f51	f55	f58	f60	f62	f63	f64	f66	f68	f69	f70	f71	f72	f73	f74	f75	f77	f89	f91	f95	f97	s14_00592	s14_00593	s14_00594	s14_315	s14_318	s14_321	s14_322	s14_326	s14_327	s14_329	s14_332	s14_338	s14_339	s14_348	s14_350	s14_357	s14_359	s14_360	s14_361	s14_362	s14_363	s14_367	s14_368	s14_376
6	0.1.2.2.1.1.3	Haloterrigena	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.2.3	Methanobacteria	1	527010	530	553	0	48	0	0	0	945	375	0	1	2709	1344	0	0	69	673	0	463	0	0	0	0	0	0	0	0	2164	511	7	46	1709	64	2701	0	428	0	673	0	0	0	168	0	36	0	355	0	72	23	0	13	0	454	8	95	0	1	683	1857	1	0	0	282	0	28	0	1241	725	0	47	333	0	544	4	3	0	470	0	93	801	1952	1157	0	828	0	57	1	1926	5	1251	4	636	0	5	641	0	0	7	0	0	0	4166	0	0	1420	0	0	0	0	0	0	3447	5	8	962	24	0	0	1	0	1	4457	0	0	1	3404	2247	12	58	2751	1709	145	7357	0	2	2346	9265	7	3649	5	978	0	7	109	1	0	6	0	0	0	13	111	385	0	48	2	2	0	0	13	0	0	0
4	0.1.2.3.1	Methanobacteriales	1	527010	530	553	0	48	0	0	0	945	375	0	1	2709	1344	0	0	69	673	0	463	0	0	0	0	0	0	0	0	2164	511	7	46	1709	64	2701	0	428	0	673	0	0	0	168	0	36	0	355	0	72	23	0	13	0	454	8	95	0	1	683	1857	1	0	0	282	0	28	0	1241	725	0	47	333	0	544	4	3	0	470	0	93	801	1952	1157	0	828	0	57	1	1926	5	1251	4	636	0	5	641	0	0	7	0	0	0	4166	0	0	1420	0	0	0	0	0	0	3447	5	8	962	24	0	0	1	0	1	4457	0	0	1	3404	2247	12	58	2751	1709	145	7357	0	2	2346	9265	7	3649	5	978	0	7	109	1	0	6	0	0	0	13	111	385	0	48	2	2	0	0	13	0	0	0
5	0.1.2.3.1.1	Methanobacteriaceae	3	527010	530	553	0	48	0	0	0	945	375	0	1	2709	1344	0	0	69	673	0	463	0	0	0	0	0	0	0	0	2164	511	7	46	1709	64	2701	0	428	0	673	0	0	0	168	0	36	0	355	0	72	23	0	13	0	454	8	95	0	1	683	1857	1	0	0	282	0	28	0	1241	725	0	47	333	0	544	4	3	0	470	0	93	801	1952	1157	0	828	0	57	1	1926	5	1251	4	636	0	5	641	0	0	7	0	0	0	4166	0	0	1420	0	0	0	0	0	0	3447	5	8	962	24	0	0	1	0	1	4457	0	0	1	3404	2247	12	58	2751	1709	145	7357	0	2	2346	9265	7	3649	5	978	0	7	109	1	0	6	0	0	0	13	111	385	0	48	2	2	0	0	13	0	0	0
6	0.1.2.3.1.1.2	Methanobrevibacter	0	515019	530	553	0	48	0	0	0	652	375	0	1	2709	1344	0	0	69	673	0	384	0	0	0	0	0	0	0	0	2164	511	7	46	1699	64	2701	0	428	0	673	0	0	0	168	0	36	0	355	0	72	23	0	13	0	454	8	95	0	1	683	1857	1	0	0	282	0	28	0	1189	725	0	47	333	0	544	4	3	0	470	0	93	801	1952	1157	0	828	0	57	1	1926	5	1251	4	636	0	5	634	0	0	7	0	0	0	4166	0	0	1420	0	0	0	0	0	0	3447	5	8	962	24	0	0	1	0	1	4457	0	0	1	2901	2247	12	57	2751	1709	145	7357	0	2	2346	9265	7	3649	5	978	0	7	109	1	0	6	0	0	0	13	111	385	0	48	2	2	0	0	13	0	0	0
6	0.1.2.3.1.1.3	Methanosphaera	0	11987	0	0	0	0	0	0	0	293	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	503	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.2.4	Methanomicrobia	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.4.1	Methanomicrobiales	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.4.1.1	Methanomicrobiaceae	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.4.1.1.1	Methanoculleus	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
