phylum	taxon	total	F298	F307	F308	LGT_02262	LGT_02339	LGT_02422	LGT_02424	LGT_02770	LGT_926	f103	f104	f114	f122	f123	f124	f132	f14_00499	f14_128_fecal	f14_236_fecal	f14_245_fecal	f14_248_fecal	f14_276_fecal	f14_277_fecal	f14_286_fecal	f14_291_fecal	f14_293_fecal	f14_299_fecal	f14_300_fecal	f14_301_fecal	f14_305_fecal	f14_309_fecal	f14_310_fecal	f14_390	f14_392	f14_399	f14_400	f14_403	f14_404	f14_419	f14_420	f14_433	f14_437	f14_448	f14_449	f14_452	f14_459	f14_460	f14_466	f14_468	f14_470	f14_473	f14_475	f14_478	f14_480	f14_481	f14_482	f14_483	f14_491	f14_492	f14_494	f14_495	f14_496	f14_509	f14_511	f14_512	f14_515	f14_546	f14_547	f14_551	f14_559	f14_560	f157	f165	f168	f172	f174	f176	f177	f178	f181	f183	f184	f185	f197	f198	f219	f223	f230	f233	f28	f30	f34	f35	f43	f44	f50	f51	f55	f58	f60	f63	f64	f66	f70	f74	f75	f77	f89	f91	f95	f97	s14_00592	s14_00593	s14_00594	s14_318	s14_321	s14_322	s14_326	s14_327	s14_329	s14_332	s14_338	s14_339	s14_348	s14_350	s14_357	s14_359	s14_361	s14_363	s14_368	s14_376
02_Firmicutes	Clostridium_XI	335921	0	0.0178132459296733	0.00590667454223272	0.0968096809680968	0	0	0.795228628230616	1.18970465697621	0	0.00423155044008125	0.626256822752083	0.00558659217877095	0.00435881788858862	0	0.675564343384413	0.00571200091392015	0.0585765888899736	0	21.0486658984133	0.155511693283091	6.03802281368821	0	0.0171813925518663	0	0.611995104039168	0.00331696961655831	0.0280295244324021	0	0	0.710157703986678	0	0	0	2.03760109232223	0.173294823372584	0.792751981879955	0	0	0	0.153981522217334	2.28225632159066	0.0464597658427802	0.416666666666667	0	0	0.0238458603586417	0	0.34507638736393	0.126319588559054	0.0028917613718516	0	0	0.0822472478805517	0	1.97706603400554	0	0.00291315873801963	0	0.177673382118228	0	0	0	0	0.014135988206547	0.0212002897372931	0	1.71252927400468	0.211680939093621	0.00500275151333233	0	0	0.0032964135021097	0	0	0	0	0	0	0.00755972180223768	1.65899241603467	0.246841022627094	0	0	0	0	0.0311257132975964	0	4.04673426969831	0.0276701715550636	0.147753187935631	0	0.112250943219731	0.0168435236651507	0.0136119240454638	0	14.0921118501037	0	0	5.54841635800136	0.0522921387484748	0.0267355850637198	0.00791891035793475	0.264861683343143	0.422167638931532	0.0236322816967978	0.0158831003811944	0.0119610071167992	0.183683273518524	0.0230589320420331	0.576046083686695	0	0	0	0.00624843789052737	1.5363050182226	0	0	0.042751028696628	0	0.866407411643601	0	0.137114365846058	0	0.935344323629136	0.0395591975134219	0	0.141068594604126	0	0	0.165131787869165	0
02_Firmicutes	Phascolarctobacterium	284253	0	0	0	0.66006600660066	2.42943627643683	0.00406934158053227	0.00537316640696362	0	1.81681322065214	0.03385240352065	2.20626256822752	0	0	0	0	0	0	0.00959600806064677	0	0	0	0	0	0	1.36933904528764	0	0.13080444735121	0	5.54470389771819	0	0	0	0.437747673025528	0	0	0	2.07010414020828	0	0	0.893092828860537	3.95072401123838	0.757294183237316	0	0.0050872462735921	0	0.0095383441434567	0.00315387769262308	0	0.00300760925140606	0	0	0	0	0	0.0243331204185297	0	0	0	0.596259824735748	0.500644769779261	10.2813618128592	1.93809557927921	0	1.11472364143056	1.13774888256806	0	0	0.659097469450592	0	0.703567855951984	0.348590481964232	0	0	0	0	10.3584328980272	6.92410119840213	0.0044895393732603	0.0151194436044754	0	0	0	0	0	0	0	0	0	0	1.23984196832943	1.00487540628386	5.986716971719	0	0	0	0.0178788528927984	0.0256436557595651	0	0	0.00435767822903957	0	0.522648083623693	0	0.00383788762665029	0	0	0	0.0028258965156696	2.35201106828738	0	2.60024633912686	0	0	0	1.68208578637511	0	0	0	0	1.78142514011209	0.511341287531139	0	0	0	0	0	0.163110562511021	0	0	0	0
02_Firmicutes	Streptococcus	279643	0.0413933643252882	0.174569810110798	0	0	1.30251330031187	0	0.182687657836763	0	0.0239504567694255	0	0.02298190175237	0	0.0740999041060064	0.0062552778907203	0.205964738836711	0.00571200091392015	0.0536952064824758	0.0383840322425871	0.035457849481429	0.328967043483462	0.152091254752852	1.65664426364815	0.0558395257935656	0	5.62270501835985	0.298527265490248	0.616649537512847	0.174341709751112	0	0	0	0	0.0460787024237397	0	0.00444345700955343	0	0	1.64782930178515	0	0.0307963044434668	0	0.0464597658427802	0	0.0101744925471842	0.501747155272825	0.119229301793209	0.0820008200082001	0.26664993569031	0.00300760925140606	0	0	0.00397393101255762	0.87941288118436	0.181081725041696	0.00304164005231621	1.57924159135377	0	0.0125639978641204	0.147559249555817	0.0025285089382791	0.00542122953485851	0.00716486350935015	0.00499276049727895	0.729013106080494	0.0618341784004381	0.0107733467401648	0	0	0	0.0566855618539513	1.05713852682631	0	0.00292047545340381	0.00402998307407109	0.080067516392201	0.0222283967768825	0.953115144719322	0.0224476968663015	0.00755972180223768	2.97941495124594	0.188069350573024	0.00924841235587891	0	0	2.98612330932724	0	1.93962374216129	0.837689739875291	0	0.195933575305945	0.308775731310943	0.0249446540488292	3.12728089382966	0	0.00699520828232661	0	0	0	0	0.00435767822903957	0	3.65853658536585	0.369498397750311	0.142001842186061	1.93548387096774	1.49830580262601	0.944919562227139	3.04631644389182	0.0461178640840663	0.0880070405632451	0.00912367136535742	0	0.0140911225927666	0	0.431735351836277	0.0167364016736402	0.0254614894971356	0.0374071501095495	0.00357142857142857	0.120096076861489	0.314671561557624	0.0186974135244624	0.0583515681983953	0.0467672161814568	0.220401243289065	0	1.01833891729854	0	0.0692346424974824	0.012702445220705	0.141561032108616
02_Firmicutes	Dialister	271898	0	0.00712529837186932	0	0.066006600660066	0.353801399481091	0	0	0	0.0718513703082766	0.00423155044008125	0	0	0.823816580943248	0.319019172426735	0	0	0	0	0	0	0.182509505703422	0.0235821247494399	0	0.00679071030829825	0	0	0	0.757484669953108	0	0.328141835635224	0.0186315152079743	0	11.828402912174	0	1.57742723839147	1.07857412500674	0	1.70064434350903	0.676363932689565	0	0.479792522152583	1.68648950009292	0.00541125541125541	0.09665767919825	0	0.0286150324303701	0.00315387769262308	2.00458010477774	6.71899906764113	1.66565455018652	0.643725389488101	0	0.730735163861825	0.00476530855372885	0.0212914803662135	0.218950899096245	0.00291315873801963	0.069101988252662	2.66510073177342	0.513287314470657	0.0189743033720048	0.0286594540374006	2.50886214988267	1.44994850461439	0	0	0	0.144327913018378	0.015008254539997	0.00333444481493831	0	0	0.00292047545340381	0	0.0151479085066326	0	0.0140163991870488	0	0	0	6.60593593887746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506350841057329	0	1.08941955725989	0	0	0.117716303708064	0	0	0	0	0.991889677000028	0.00988239944658563	0.696055684454756	0	0.0192616372391653	0.0140911225927666	0.00624843789052737	0	0.0753138075313808	1.59134309357097	0	0.0785714285714286	0	0.533193479305974	0	0.0109409190371991	0.245527884952648	0	0.166691923018639	2.65385293599013	0.388795986622074	2.25956696878147	0.806605271514767	0.0128691847371469
02_Firmicutes	Peptoniphilus	262266	0	0.021375895115608	0	0	2.24074219671358	0	0	0.462920099990742	0	0	0	0	0	0	0	0	0	0	0.00886446237035724	0	0	0.00589553118735998	0	0	0	0	0	0.00601178309486594	0	0	0	0	0	0.0315092952420964	0.0266607420573206	0	0	1.37847258899335	1.5034836817015	0.0747910250769908	0.00432245515452777	2.82475376324103	0	0.0050872462735921	0.071678165038975	0.100152613506295	0	0	0.0300760925140606	0.546542899279951	6.74542030474234	0	0.0664304694419841	0	0.717827052346625	0	0.0203921111661374	0	2.63799801246725	0	0.0162636886045755	0	0	0.9370140754054	0	0	0	0	0.0800440242133173	0.00333444481493831	0	0	0	0	0	0	0.00700819959352442	0	0	0	0.017631501616221	0	0	0	0	0.00345841258862182	0	0.0062984190968067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729198649063555	0	0	0	0	0	0	0	3.60192616372392	0	0	0	0.0209205020920502	0	0	0	0	2.67907871159477	0	0.00364697301239971	0	0	0	2.86104743431494	13.1229096989967	0.119587109768379	0.35566846617974	0
02_Firmicutes	Clostridium_XVIII	258885	0.03502515442909	0.0178132459296733	0.00295333727111636	0	0.0104830044290694	0	0.0107463328139272	0	0.0923803332534985	0.0126946513202437	0.011490950876185	0	0.0261529073315317	0.225190004065931	0	0.00571200091392015	0	0	0.115238010814644	0.0837370656139721	0.730038022813688	0.15328381087136	0.184699969932563	1.29702566888497	1.02509179926561	0.242138782008757	0.943660655890872	0.60719009258146	5.14072627186362	0.435889901067685	0	0.0598690364826941	0.0460787024237397	0.299338304799916	0	0.258857790001618	0	0.0052815041723883	0	0.0087989441267048	0.280959585044305	0.0371678126742241	0.0162337662337662	0.0610469552831053	0	0.014307516215185	0.0914624530860693	0.332528155096151	0.0631597942795272	0.135912784477025	0	0	4.21358977603442	0	0	0.11646324420013	0.0815684446645498	0.452303923108333	0.0301141325624115	0.00505701787655819	0.211427951859482	0.354660743712832	0	0.0121165613198974	0.00353338162288218	0.878027759323434	0.0146370023419204	1.95323775618205	0	0	1.34131555016672	0	0.803130749686049	0	0	0.311197554876355	0	0.43997485857951	0.529180526156637	0	0.540699382897443	0	0.00263511554981686	0	0	0	0	2.21704352207596	0	2.14884527671602	0.0406283856988082	0	1.02184043568581	0	0.181875415340492	0.00357577057855968	0.00512873115191302	0.236010985238586	0.0831506538665054	0.00435767822903957	0.0222796542197665	0.589958821666139	0.232162710090903	0.0882714154129567	5.45669384379062	0	1.19012020812152	0.0310848616723656	0	0.424033922713817	0.223529948451257	0.154093097913323	0	0.0187453136715821	0.173815531258761	0	0.831741990239762	0	0.0107142857142857	1.43543406153494	0.196669725973515	0	0.153172866520788	0.415059043610429	1.09070358858435	0	0	0	0	0.0190536678310575	0.70780516054308
02_Firmicutes	Faecalibacterium	250002	0.254728395847927	2.97837471944138	0	0.022002200220022	3.25497287522604	0	0.0376121648487454	0	0.00342149382420365	0	9.44556162022407	0.00558659217877095	0.0130764536657658	0	0	0	0	0	0	0	0	0.10022403018512	0.403762724968859	0	2.61627906976744	0.537349077882447	0	0	0	0	0	0	0.0230393512118699	0	0.0222172850477672	0	0	0.200697158550755	0	0.101187857457105	0.0432245515452777	0	0	0.0152617388207763	0.170235641967566	0.934757726058756	0.00315387769262308	0	0.00300760925140606	0	0.0342407122068139	0.00794786202511524	0.499810198658737	0	0.702618852085044	0.163048541880183	0	0.00628199893206018	0.00903423976872346	2.31105716958709	0.010842459069717	0	0	0.0646216603727862	0.0106001448686465	0.330382633365055	0.0219555035128806	0	0.00500275151333233	0	0	0.0197784810126582	0.00584095090680763	0	0	0.00555709919422062	0	0	0.0604777744179014	4.42172264355363	0.0940346752865119	0	0	0	0	0	0	5.66857718712603	0	1.25590209745286	0	0	7.24832968390321	0	0.0104928124234899	0.0214546234713581	0	15.3836251287333	0	0.780024402998083	0.0044559308439533	0	1.49761297495259	1.60039914031317	0.0354484225451967	0.0105887335874629	0	1.42990363692882	0	0	1.39135988321701	11.800963081862	0	0.0249937515621095	0.269133725820017	0	0.00424358158285593	0	0	0	0.428302958786766	0	1.84536834427425	0	0	0.00757690559175633	1.4018691588785	0	0	0	0
02_Firmicutes	Firmicutes_unclassified	233271	0.03502515442909	0	0	1.69416941694169	0	0	0.0752243296974907	0.0370336079992593	0	0	0.034472852628555	0	0	0.0469145841804022	0	0.0114240018278403	0	0	0.00443223118517862	0.0299060948621329	0	6.65015917934206	1.13397190842318	0	3.77141982864137	0.0132678784662332	0.00934317481080071	0.0120235661897319	0	0	0.00465787880199357	0	0	0	0.0399911130859809	0.00539287062503371	0	0.116193091792543	0.134457890233468	0.0043994720633524	0.00432245515452777	0.831629808585765	0.0378787878787879	0	0.00895977062987187	7.61159862647844	0.264925726180339	0.0721523355397308	0.0721826220337454	3.0826176223938	5.17719568567026	0	0.00632671137542705	0.00476530855372885	2.38160416096359	0.33075561352837	0.032044746118216	0.141344975971354	2.19230885054356	0.0176995625679537	0.00542122953485851	0.0250770222827255	0	0.557361820715281	4.13052311714927	0.166986874472555	2.02722482435597	0	0.517784781629896	0	0.0303122158229767	0.273602320675105	0.108057591775941	0.00805996614814218	0.00216398692951895	0.0944706863017505	0	0.0044895393732603	0.0982763834290898	0	0.0646488392594769	0	0	0.00344127464812967	0	0	0.00729181857955374	0.399949612647226	0.00922339051835455	0.13490508463688	0.00270855904658722	0	0.0449160631070687	0	0.286803539575391	0	0	0.0128733264675592	0	0.592644239149381	0.213884680509758	0	0.013079589300896	0.00383788762665029	0	0.0529436679373147	0.0478440284671969	2.2211546613163	0.135059459103337	2.49619969597568	2.7416632452899	0.353130016051364	3.621418506341	0.0124968757810547	0.128959910288758	0	0	0	0	0.00285943040146403	0.13111315064901	0.105952009971954	0.0182348650619985	0	0	0	0.312995944277905	1.3252508361204	0.220292044310171	0	0
02_Firmicutes	Clostridium_IV	173793	0.0859708335986754	0.862161102996188	0	0.0132013201320132	0.099588542076159	0	0.0698511632905271	0.620312933987594	0	0	0.25280091927607	0	1.34687472757388	0.237700559847371	0.0823858955346845	0.262752042040327	0	0	0	2.35061905616365	0.243346007604563	1.69791298195967	1.33155792276964	0.0135814206165965	0.336597307221542	0.603688470213613	0.345697467999626	0.318624504027895	0.683654443753884	0.249779606229797	0	0	0.00921574048474795	0.404369288940237	0.00444345700955343	0.0593215768753708	0.209550419100838	0.0264075208619415	0	0.0175978882534096	0.289604495353361	0.0185839063371121	0.0757575757575758	0.0101744925471842	0	0.348149561236169	0.0662314315450847	0.401543432568937	0.0481217480224969	0.0838610797836963	0	0.00397393101255762	0.806655700366949	0	0.209873163609818	1.29972980527346	0.0116526349520785	1.21870779281968	0.0632396783810642	0.0227565804445119	0.0298167624417218	2.19603066561582	0.00499276049727895	0.0383691108463418	2.38679928625691	1.37360170937102	0.00731850117096019	0	0.525288908899895	0.00666888962987663	0.1629281600485	0.626318565400844	0.230717560818901	0	0.00216398692951895	1.02250625173659	0	0.0044895393732603	0.5216208043544	0	0	0	0	0	0	0	0	0.113371543742521	0	0.459319692930331	0.00541711809317443	0	2.61074616809837	0	0.171382602917002	0.00715154115711936	0	0.437693099897013	0	1.41188774620882	0.748596381784155	0	1.68726701981558	0.168867055572613	0	0.00529436679373147	1.20806171879672	0.963630711843332	1.15294660210166	2.55220417633411	0.396879704393048	0.0834670947030498	0.333489901362142	0	0.975609756097561	0	0	0	0.0428571428571429	0	1.33298369826494	0.137114365846058	0.025528811086798	0.134455746521688	0.118677592540266	0.0265191695711471	0.0484923293951684	0	0	0	0
02_Firmicutes	Clostridium_sensu_stricto	171228	0	0.00356264918593466	0.00295333727111636	1.90539053905391	0	0	0.456719144591908	3.86538283492269	0	0	0.0057454754380925	0	0	0	0	0	0	0	0	0.669896524911777	0	0	0.115974399725098	0	0	0	1.07446510324208	0	1.77572582793217	0	0	0	0	0.0682701396912089	0	0	0	0	0	0.281566212054553	0	0.0371678126742241	0	0	0	0	0	0.0156852903347241	0	0	0	0.0119217930376729	0	0	0.100374121726435	0	0	0	0.165627729093263	0.0025285089382791	0	0	0	0.00605828065994871	0.144868646538169	0	0	0	0.00250137575666617	0.00333444481493831	0.0682024856016975	0	0	0	0	0	0.00700819959352442	0	0.0302388872089507	0	0	0	0	0	0	0	0	0.179504944258991	0	0.112420903864067	0	0	0.00561450788838358	0	0	11.8393763856111	0	0	0	0	0.0178237233758132	0.296959138422553	0	0.0153515505066012	0.0803497577691126	0	0	0.0226071721253568	0	0.680054404352348	0.406003375758405	0.0192616372391653	0.00469704086425552	0.00624843789052737	0.0560695262125035	0	0	0	0	0	0.00874087670993401	0.0186974135244624	0	0.260142640009353	0.0113026278609777	0	0	0	0	0	0
