OTU	Size	Taxonomy	taxname	phylum
Otu000332	9227	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVb(100);	Otu000332_Clostridium_XlVb	Firmicutes
Otu000334	9067	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);	Otu000334_Ruminococcus	Firmicutes
Otu000342	8736	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);Holdemania(100);	Otu000342_Holdemania	Firmicutes
Otu000344	8668	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);	Otu000344_Clostridium_XlVa	Firmicutes
Otu000345	8648	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);	Otu000345_Blautia	Firmicutes
Otu000347	8581	Bacteria(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);Bacteria_unclassified(100);	Otu000347_Bacteria_unclassified	Bacteria_unclassified
Otu000349	8553	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000349_Lachnospiraceae	Firmicutes
Otu000350	8524	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_unclassified(100);	Otu000350_Clostridiales_unclassified	Firmicutes
Otu000353	8226	Bacteria(100);Firmicutes(100);Erysipelotrichia(100);Erysipelotrichales(100);Erysipelotrichaceae(100);	Otu000353_Erysipelotrichaceae	Firmicutes
Otu000359	7728	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcus(100);	Otu000359_Ruminococcus	Firmicutes
Otu000362	7644	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000362_Lachnospiraceae	Firmicutes
Otu000366	7486	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);	Otu000366_Ruminococcaceae	Firmicutes
Otu000368	7371	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Incertae_Sedis_XI(100);Murdochiella(100);	Otu000368_Murdochiella	Firmicutes
Otu000369	7354	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000369_Lachnospiraceae	Firmicutes
Otu000371	7349	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Clostridium_XI(100);	Otu000371_Clostridium_XI	Firmicutes
Otu000377	7014	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);	Otu000377_Lachnospiraceae	Firmicutes
Otu000378	6911	Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);	Otu000378_Bacteroides	Bacteroidetes
